Model,MAE,RMSE,R2 Score
Linear Regression,40024.66634937129,111669.24066055339,0.4542162616989157
ANN,30890.283203125,104175.99877131009,0.5250053405761719
LSTM,31080.84375,97534.96587378293,0.5836350917816162
Backpropagation,36250.39453125,108684.18306267017,0.4830052852630615
